Franklin-Paxinos Full name,Franklin-Paxinos abbreviation,Structural ID,structure Order,red,green,blue,Parent ID,Parent abbreviation,Allen Full name,Allen abbreviation,,,
"Central amygdaloid nucleus, lateral part",CeL,551,50500,171,209,249,536,Ce,"Central amygdalar nucleus, lateral part",CEAl,,,
"Central amygdaloid nucleus, medial part",CeM,559,50600,171,209,250,536,Ce,"Central amygdalar nucleus, medial part",CEAm,,,
Intercalated nuclei of the amygdala,I,1105,50700,184,208,248,278,sAMY,Intercalated amygdalar nucleus,IA,,,
"Intercalated amygdalar nucleus, main part",IM,2375,50710,184,208,248,1105,I,,,,,
Medial amygdaloid nucleus,Me,403,50800,176,208,248,278,sAMY,Medial amygdalar nucleus,MEA,,,
"Medial amygdaloid nucleus, anterodorsal part",MeAD,411,50900,176,209,248,403,Me,"Medial amygdalar nucleus, anterodorsal part",MEAad,,,
"Medial amygdaloid nucleus, anterventral part",MeAV,418,51000,176,208,249,403,Me,"Medial amygdalar nucleus, anteroventral part",MEAav,,,
"Medial amygdaloid nucleus, posterodorsal part",MePD,426,51100,176,208,250,403,Me,"Medial amygdalar nucleus, posterodorsal part",MEApd,,,
,,,,,,,,,"Medial amygdalar nucleus, posterodorsal part, sublayer a",MEApd-a,,,
,,,,,,,,,"Medial amygdalar nucleus, posterodorsal part, sublayer b",MEApd-b,,,
,,,,,,,,,"Medial amygdalar nucleus, posterodorsal part, sublayer c",MEApd-c,,,
"Medial amygdaloid nucleus, posteroventral part",MePV ,435,51500,176,208,251,403,Me,"Medial amygdalar nucleus, posteroventral part",MEApv,,,
Pallidum,PAL,803,51600,160,200,176,623,CNU,Pallidum,PAL,,,
,,,,,,,,,"Pallidum, dorsal region",PALd,,,
Globus pallidus,GP,1022,51800,160,216,177,803,PAL,"Globus pallidus, external segment",GPe,,,
Entopeduncular nucleus,EP,1031,51900,160,216,178,803,PAL,"Globus pallidus, internal segment",GPi,,,
Ventral pallidum,VP,835,52000,160,208,176,803,PAL,"Pallidum, ventral region",PALv,,,
Substantia innominata,SI,342,52100,152,208,176,803,PAL,Substantia innominata,SI,,,
"Substantia innominata, basal part",SIB,2371,52110,152,208,176,342,SI,,,,,
Extension of the amygdala,EA,2027,52120,152,208,176,342,SI,,,,,
Cell bridges of the ventral striatum,CB,2013,52130,160,228,224,342,SI,,,,,
Magnocellular nucleus,MCPO,298,52200,162,208,176,803,PAL,Magnocellular nucleus,MA,,,
Basal nucleus (Meynert),B,2028,52210,162,208,176,803,PAL,,,,,
"Pallidum, medial region",PALm,826,52300,160,224,176,803,PAL,"Pallidum, medial region",PALm,,,
Medial septal complex,MSC,904,52400,160,224,176,826,PALm,Medial septal complex,MSC,,,
Medial septal nucleus,MS,564,52500,118,224,176,904,MSC,Medial septal nucleus,MS,,,
Lambdoid septal zone,Ld,2005,52510,118,224,176,564,MS,,,,,
Diagonal band nucleus,NDB,2280,52600,138,224,176,904,MSC,,,,,
Nucleus of the vertical limb of the diagonal band,VDB,596,52610,138,224,176,2280,NDB,,,,,
Lateral nucleus of the diagnoal band,LDB,2293,52620,138,224,176,2280,NDB,,,,,
Nucleus of the horizontal limb of the diagonal band,HDB,2004,52630,138,224,176,2280,NDB,,,,,
Triangular septal nucleus,TS,581,52700,128,224,176,826,PALm,Triangular nucleus of septum,TRS,,,
"Pallidum, caudal region",PALc,809,52800,160,190,176,803,PAL,"Pallidum, caudal region",PALc,,,
Nucleus of stria medullaris,SM,2308,52810,160,190,176,809,PALc,,,,,
Bed nuclei of the stria terminalis,ST,351,52900,160,190,160,809,PALc,Bed nuclei of the stria terminalis,BST,,,
"Bed nuclei of the stria terminalis, anterior division",STa,359,53000,160,190,161,351,ST,"Bed nuclei of the stria terminalis, anterior division",BSTa,,,
"Bed nucleus of the stria terminalis, medial division, anterolateral part",STMAL,537,53100,160,190,161,359,STa,"Bed nuclei of the stria terminalis, anterior division, anterolateral area",BSTal,,,
"Bed nucleus of the stria terminalis, medial division, anterior part",STMA,498,53200,160,190,161,359,STa,"Bed nuclei of the stria terminalis, anterior division, anteromedial area",BSTam,,,
,,,,,,,,,"Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus",BSTdm,,,
"Bed nuclei of the stria terminalis, fusiform nucleus",Fu,513,53400,160,190,161,359,STa,"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus",BSTfu,,,
"Bed nucleus of the stria terminalis, lateral division, juxtacapsular part",STLJ,546,53500,160,190,161,359,STa,"Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus",BSTju,,,
,,,,,,,,,"Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus",BSTmg,,,
"Bed nucleus of the stria terminalis, lateral division, dorsal part",STLD,554,53700,160,190,161,359,STa,"Bed nuclei of the stria terminalis, anterior division, oval nucleus",BSTov,,,
,,,,,,,,,"Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus",BSTrh,,,
"Bed nucleus of the stria terminalis, medial division, posterolateral part",STMPL,529,53900,160,190,161,359,STa,"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",BSTv,,,
"Bed nuclei of the stria terminalis, medial division",STm,2359,53910,160,190,161,351,ST,"Bed nuclei of the stria terminalis, medial division",BSTm,,,
"Bed nucleus of the stria terminalis, medial division, ventral part",STMV,2010,53920,160,190,161,2359,STm,,,,,
"Bed nucleus of the stria terminalis, medial division, posteromedial part",STMPM,2025,53930,160,190,168,2359,STm,,,,,
"Bed nuclei of the stria terminalis, posterior division",STp,367,54000,160,190,168,351,ST,"Bed nuclei of the stria terminalis, posterior division",BSTp,,,
,,,,,,,,,"Bed nuclei of the stria terminalis, posterior division, dorsal nucleus",BSTd,,,
"Bed nucleus of the stria terminalis, medial division, anteromedial part",STMAM,578,54200,160,190,168,367,STp,"Bed nuclei of the stria terminalis, posterior division, principal nucleus",BSTpr,,,
"Bed nucleus of the stria terminalis, medial division, posterointermediate part",STMPI,585,54300,160,190,168,367,STp,"Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus",BSTif,,,
,,,,,,,,,"Bed nuclei of the stria terminalis, posterior division, transverse nucleus",BSTtr,,,
,,,,,,,,,"Bed nuclei of the stria terminalis, posterior division, strial extension",BSTse,,,
"Bed nuclei of the stria terminialis, lateral division",STl,2360,54510,160,190,168,351,ST,"Bed nuclei of the stria terminialis, lateral division",BSTl,,,
"Bed nuclus of the stria terminalis, lateral division, posterior part",STLP,2015,54520,160,190,168,2360,STl,,,,,
"Bed nucleus of the stria terminalis, lateral division, ventral part ",STLV,2014,54530,160,190,168,2360,STl,,,,,
"Bed nucleus of the stria terminalis, lateral division, intermediate part",STLI,2022,54540,160,190,168,2360,STl,,,,,
"Bed nucleus of the stria terminalis, intraamygdaloid",STIA,2049,54550,160,190,168,351,ST,,,,,
Bed nucleus of the anterior commissure,BAC,287,54600,160,190,152,809,PALc,Bed nucleus of the anterior commissure,BAC,,,
Cerebellum,CBL,512,54700,240,255,160,8,grey,Cerebellum,CB,,,
Cerebellar cortex,CBX,528,54800,240,240,128,512,CBL,Cerebellar cortex,CBX,,,
Vermal regions,VERM,645,54900,240,242,128,528,CBX,Vermal regions,VERM,,,
Lobule 1 of the cerebellar vermis,1Cb,912,55000,240,242,128,645,VERM,Lingula (I),LING,,,
"Lobule 1 of the cerebellar vermis, molecular layer",1Cb-mo,10707,55100,240,242,128,912,1Cb,"Lingula (I), molecular layer",LINGmo,,,
,,,,,,,,,"Lingula (I), Purkinje layer",LINGpu,,,
"Lobule 1 of the cerebellar vermis, granular layer",1Cb-gr,10705,55300,227,219,97,912,1Cb,"Lingula (I), granular layer",LINGgr,,,
,,,,,,,,,Central lobule,CENT,,,
Lobule 2 of the cerebellar vermis,2Cb,976,55500,240,242,128,645,VERM,Lobule II,CENT2,,,
"Lobule 2 of the cerebellar vermis, molecular layer",2Cb-mo,10710,55600,240,242,128,976,2Cb,"Lobule II, molecular layer",CENT2mo,,,
,,,,,,,,,"Lobule II, Purkinje layer",CENT2pu,,,
"Lobule 2 of the cerebellar vermis, granular layer",2Cb-gr,10708,55800,227,219,97,976,2Cb,"Lobule II, granular layer",CENT2gr,,,
Lobule 3 of the cerebellar vermis,3Cb,984,55900,240,242,128,645,VERM,Lobule III,CENT3,,,
"Lobule 3 of the cerebellar vermis, molecular layer",3Cb-mo,10713,56000,240,242,128,984,3Cb,"Lobule III, molecular layer",CENT3mo,,,
,,,,,,,,,"Lobule III, Purkinje layer",CENT3pu,,,
"Lobule 3 of the cerebellar vermis, granular layer",3Cb-gr,10711,56200,227,219,97,984,3Cb,"Lobule III, granular layer",CENT3gr,,,
Culmen,CUL,928,56300,240,242,128,645,VERM,Culmen,CUL,,,
Lobule 4 of the cerebellar vermis,4Cb,992,56400,240,242,128,928,CUL,Lobule IV,CUL4,,,
,,,,,,,,,"Lobule IV, molecular layer",CUL4mo,,,
,,,,,,,,,"Lobule IV, Purkinje layer",CUL4pu,,,
,,,,,,,,,"Lobule IV, granular layer",CUL4gr,,,
Lobule 5 of the cerebellar vermis,5Cb,1001,56800,240,242,128,928,CUL,Lobule V,CUL5,,,
,,,,,,,,,"Lobule V, molecular layer",CUL5mo,,,
,,,,,,,,,"Lobule V, Purkinje layer",CUL5pu,,,
,,,,,,,,,"Lobule V, granular layer",CUL5gr,,,
Lobules 4 and 5 of the cerebellar vermis,4/5Cb,1091,57200,240,242,128,928,CUL,Lobules IV-V,CUL4_5,,,
"Lobules 4 and 5 of the cerebellar vermis, molecular layer",4/5Cb-mo,10722,57300,240,242,128,1091,4/5Cb,"Lobules IV-V, molecular layer",CUL4_5mo,,,
,,,,,,,,,"Lobules IV-V, Purkinje layer",CUL4_5pu,,,
"Lobules 4 and 5 of the cerebellar vermis, granular layer",4/5Cb-gr,10720,57500,227,219,97,1091,4/5Cb,"Lobules IV-V, granular layer",CUL4_5gr,,,
Lobule 6 of the cerebellar vermis,6Cb,936,57600,240,242,128,645,VERM,Declive (VI),DEC,,,
"Lobule 6 of the cerebellar vermis, molecular layer",6Cb-mo,10725,57700,240,242,128,936,6Cb,"Declive (VI), molecular layer",DECmo,,,
,,,,,,,,,"Declive (VI), Purkinje layer",DECpu,,,
"Lobule 6 of the cerebellar vermis, granular layer",6Cb-gr,10723,57900,227,219,97,936,6Cb,"Declive (VI), granular layer",DECgr,,,
Lobule 7 of the cerebellar vermis,7Cb,944,58000,240,242,128,645,VERM,Folium-tuber vermis (VII),FOTU,,,
"Lobule 7 of the cerebellar vermis, molecular layer",7Cb-mo,10728,58100,240,242,128,944,7Cb,"Folium-tuber vermis (VII), molecular layer",FOTUmo,,,
,,,,,,,,,"Folium-tuber vermis (VII), Purkinje layer",FOTUpu,,,
"Lobule 7 of the cerebellar vermis, granular layer",7Cb-gr,10726,58300,227,219,97,944,7Cb,"Folium-tuber vermis (VII), granular layer",FOTUgr,,,
Lobule 8 of the cerebellar vermis,8Cb,951,58400,240,242,128,645,VERM,Pyramus (VIII),PYR,,,
"Lobule 8 of the cerebellar vermis, molecular layer",8Cb-mo,10731,58500,240,242,128,951,8Cb,"Pyramus (VIII), molecular layer",PYRmo,,,
,,,,,,,,,"Pyramus (VIII), Purkinje layer",PYRpu,,,
"Lobule 8 of the cerebellar vermis, granular layer",8Cb-gr,10729,58700,227,219,97,951,8Cb,"Pyramus (VIII), granular layer",PYRgr,,,
Lobule 9 of the cerebellar vermis,9Cb,957,58800,240,242,128,645,VERM,Uvula (IX),UVU,,,
"Lobule 9 of the cerebellar vermis, molecular layer",9Cb-mo,10734,58900,240,242,128,957,9Cb,"Uvula (IX), molecular layer",UVUmo,,,
,,,,,,,,,"Uvula (IX), Purkinje layer",UVUpu,,,
Lobule 9 of the cerebellar vermis,9Cb-gr,10732,59100,227,219,97,957,9Cb,"Uvula (IX), granular layer",UVUgr,,,
Lobule 10 of the cerebellar vermis,10Cb,968,59200,240,242,128,645,VERM,Nodulus (X),NOD,,,
"Lobule 10 of the cerebellar vermis, molecular layer",10Cb-mo,10737,59300,240,242,128,968,10Cb,"Nodulus (X), molecular layer",NODmo,,,
,,,,,,,,,"Nodulus (X), Purkinje layer",NODpu,,,
"Lobule 10 of the cerebellar vermis, granular layer",10Cb-gr,10735,59500,227,219,97,968,10Cb,"Nodulus (X), granular layer",NODgr,,,
Hemispheric regions,HEM,1073,59600,240,241,128,528,CBX,Hemispheric regions,HEM,,,
Simple lobule,Sim,1007,59700,240,241,128,1073,HEM,Simple lobule,SIM,,,
"Simple lobule, molecular layer",Sim-mo,10674,59800,240,241,128,1007,Sim,"Simple lobule, molecular layer",SIMmo,,,
,,,,,,,,,"Simple lobule, Purkinje layer",SIMpu,,,
"Simple lobule, granular layer",Sim-gr,10672,60000,227,219,97,1007,Sim,"Simple lobule, granular layer",SIMgr,,,
,,,,,,,,,Ansiform lobule,AN,,,
Crus 1 of the ansiform lobule,Crus1,1056,60200,240,241,128,1073,HEM,Crus 1,ANcr1,,,
"Crus 1 of the ansiform lobule, molecular layer",Crus1-mo,10677,60300,240,241,128,1056,Crus1,"Crus 1, molecular layer",ANcr1mo,,,
,,,,,,,,,"Crus 1, Purkinje layer",ANcr1pu,,,
"Crus 1 of the ansiform lobule, granular layer",Crus1-gr,10675,60500,227,219,97,1056,Crus1,"Crus 1, granular layer",ANcr1gr,,,
Crus 2 of the ansiform lobule,Crus2,1064,60600,240,241,128,1073,HEM,Crus 2,ANcr2,,,
"Crus 2 of the ansiform lobule, molecular layer",Crus2-mo,10680,60700,240,241,128,1064,Crus2,"Crus 2, molecular layer",ANcr2mo,,,
,,,,,,,,,"Crus 2, Purkinje layer",ANcr2pu,,,
"Crus 2 of the ansiform lobule, granular layer",Crus2-gr,10678,60900,227,219,97,1064,Crus2,"Crus 2, granular layer",ANcr2gr,,,
Paramedian lobule,PM,1025,61000,240,241,128,1073,HEM,Paramedian lobule,PRM,,,
"Paramedian lobule, molecular layer",PM-mo,10683,61100,240,241,128,1025,PM,"Paramedian lobule, molecular layer",PRMmo,,,
,,,,,,,,,"Paramedian lobule, Purkinje layer",PRMpu,,,
"Paramedian lobule, granular layer",PM-gr,10681,61300,227,219,97,1025,PM,"Paramedian lobule, granular layer",PRMgr,,,
Copula of the pyramis,Cop,1033,61400,240,241,128,1073,HEM,Copula pyramidis,COPY,,,
"Copula of the pyramis, molecular layer",Cop-mo,10686,61500,240,241,128,1033,Cop,"Copula pyramidis, molecular layer",COPYmo,,,
,,,,,,,,,"Copula pyramidis, Purkinje layer",COPYpu,,,
"Copula of the pyramis, granular layer",Cop-gr,10684,61700,227,219,97,1033,Cop,"Copula pyramidis, granular layer",COPYgr,,,
Paraflocculus,PFl,1041,61800,240,241,128,1073,HEM,Paraflocculus,PFL,,,
"Paraflocculus, molecular layer",PFl-mo,10689,61900,240,241,128,1041,PFl,"Paraflocculus, molecular layer",PFLmo,,,
,,,,,,,,,"Paraflocculus, Purkinje layer",PFLpu,,,
"Paraflocculus, granular layer",PFl-gr,10687,62100,227,219,97,1041,PFl,"Paraflocculus, granular layer",PFLgr,,,
Flocculus,Fl,1049,62200,240,241,128,1073,HEM,Flocculus,FL,,,
"Flocculus, molecular layer",Fl-mo,10692,62300,240,241,128,1049,Fl,"Flocculus, molecular layer",FLmo,,,
,,,,,,,,,"Flocculus, Purkinje layer",FLpu,,,
"Flocculus, granular layer",Fl-gr,10690,62500,227,219,97,1049,Fl,"Flocculus, granular layer",FLgr,,,
,,,,,,,,,"Cerebellar cortex, molecular layer",CBXmo,,,
,,,,,,,,,"Cerebellar cortex, Purkinje layer",CBXpu,,,
,,,,,,,,,"Cerebellar cortex, granular layer",CBXgr,,,
Cerebellar nuclei,CBN,519,62900,240,240,144,512,CBL,Cerebellar nuclei,CBN,,,
Medial cerebellar nucleus,Med,989,63000,240,240,82,519,CBN,Fastigial nucleus,FN,,,
"Medial cerebellar nucleus, dorsolateral protuberance",MedDL,2244,63010,240,240,82,989,Med,,,,,
"Medial cerebellar nucleus, lateral part",MedL,2245,63020,240,240,82,989,Med,,,,,
Interposed cerebellar nucleus,Int,91,63100,240,240,82,519,CBN,Interposed nucleus,IP,,,
"Interposed cerebellar nucleus, anterior part",IntA,2239,63110,240,240,82,91,Int,,,,,
"Interposed cerebellar nucleus, dorsolateral hump",IntDL,2240,63120,240,240,82,91,Int,,,,,
"Interposed cerebellar nucleus, posterior part",IntP,2241,63130,240,240,82,91,Int,,,,,
"Interposed cerebellar nucleus, posterior parvicellular",IntPPC,2242,63140,240,240,82,91,Int,,,,,
Dentate nucleus ,DN,2281,63200,240,240,82,519,CBN,,,,,
Lateral (dentate) cerebellar nucleus,Lat,846,63210,240,240,82,2281,DN,,,,,
"Lateral cerebellar nucleus, parvicellular part",LatPC,2247,63220,240,240,82,2281,DN,,,,,
Brain stem,BS,343,63300,144,96,128,8,grey,Brain stem,BS,,,
Interbrain,IB,1129,63400,255,95,95,343,BS,Interbrain,IB,,,
Thalamus,TH,549,63500,255,112,128,1129,IB,Thalamus,TH,,,
Periventricular gray ,PVG,2414,63510,255,112,128,549,TH,Periventricular gray ,PVG,,,
"Thalamus, sensory-motor cortex related",DORsm,864,63600,255,128,176,549,TH,"Thalamus, sensory-motor cortex related",DORsm,,,
Ethmoid thalamic nucleus,Eth,2115,63610,255,131,130,864,DORsm,,,,,
Retroethmoid nucleus,REth,2116,63620,255,131,130,864,DORsm,,,,,
Scaphoid thalamic nucleus,Sc,2117,63630,255,131,130,864,DORsm,,,,,
Posterior intralaminar thalamic nucleus,PIL,2120,63640,255,108,144,864,DORsm,,,,,
Ventral group thalamic nucleus,VENT,637,63700,255,108,160,864,DORsm,Ventral group of the dorsal thalamus,VENT,,,
Ventrolateral thalamic nucleus,VL,629,63800,255,108,161,637,VENT,Ventral anterior-lateral complex of the thalamus,VAL,,,
Ventral anterior thalamic nucleus,VA,2316,63810,255,108,161,637,VENT,,,,,
Ventromedial thalamic nucleus,VM,685,63900,255,108,162,637,VENT,Ventral medial nucleus of the thalamus,VM,,,
Ventral posterior thalamic nucleus,VP,709,64000,255,108,144,637,VENT,Ventral posterior complex of the thalamus,VP,,,
Ventral posterolateral thalamic nucleus,VPL,718,64100,255,108,145,709,VP,Ventral posterolateral nucleus of the thalamus,VPL,,,
Ventral posteromedial thalamic nucleus,VPM,733,64200,255,108,147,709,VP,Ventral posteromedial nucleus of the thalamus,VPM,,,
"Ventral posteromedial nucleus of the thalamus, dorsal part",VPMd,2362,64210,255,108,147,733,VPM,"Ventral posteromedial nucleus of the thalamus, dorsal part",VPMd,,,
"Ventral posteromedial nucleus of the thalamus, ventral part",VPMv,2363,64220,255,108,147,733,VPM,"Ventral posteromedial nucleus of the thalamus, ventral part",VPMv,,,
"Ventral posterior nucleus of the thalamus, parvicellular",VPPC,2361,64230,255,108,147,709,VP,,,,,
,,,,,,,,,"Ventral posterolateral nucleus of the thalamus, parvicellular part",VPLpc,,709,VP
,,,,,,,,,"Ventral posteromedial nucleus of the thalamus, parvicellular part",VPMpc,,733,VPM
Subparafascicular thalamic nucleus,SPF,406,64500,255,112,165,864,DORsm,Subparafascicular nucleus,SPF,,,
,,,,,,,,,"Subparafascicular nucleus, magnocellular part",SPFm,,,
"Subparafascicular thalamic nucleus, parvicellular part",SPFPC,422,64700,255,110,165,406,SPF,"Subparafascicular nucleus, parvicellular part",SPFp,,,
,,,,,,,,,Subparafascicular area,SPA,,,
Peripeduncular nucleus,PP,1044,64900,255,112,163,864,DORsm,Peripeduncular nucleus,PP,,,
Subbrachial nucleus,SubB,2158,64910,255,112,160,864,DORsm,,,,,
Geniculate group of the thalamus,GENd,1008,65000,255,112,160,864,DORsm,"Geniculate group, dorsal thalamus",GENd,,,
Medial geniculate nucleus,MG,475,65100,255,112,162,1008,GENd,Medial geniculate complex,MG,,,
"Medial geniculate nucleus, dorsal part",MGD,1072,65200,255,112,162,475,MG,"Medial geniculate complex, dorsal part",MGd,,,
"Medial geniculate nucleus, ventral part",MGV,1079,65300,255,112,162,475,MG,"Medial geniculate complex, ventral part",MGv,,,
"Medial geniculate nucleus, medial part",MGM,1088,65400,255,112,162,475,MG,"Medial geniculate complex, medial part",MGm,,,
Marginal zone of the medial geniculate,MZMG,2126,65410,255,112,162,475,MG,,,,,
Dorsal lateral geniculate nucleus,DLG,170,65500,255,112,161,1008,GENd,Dorsal part of the lateral geniculate complex,LGd,,,
"Thalamus, polymodal association cortex related",DORpm,856,65600,255,136,176,549,TH,"Thalamus, polymodal association cortex related",DORpm,,,
Lateral group of the dorsal thalamus,LAT,138,65700,255,130,130,856,DORpm,Lateral group of the dorsal thalamus,LAT,,,
Lateral posterior thalamic nucleus,LP,218,65800,255,135,130,138,LAT,Lateral posterior nucleus of the thalamus,LP,,,
"Lateral posterior thalamic nucleus, mediorostral part",LPMR,2069,65810,255,135,130,218,LP,,,,,
"Lateral posterior thalamic nucleus, mediocaudal part",LPMC,2070,65820,255,135,130,218,LP,,,,,
"Lateral posterior thalamic nucleus, laterorostral part",LPLR,2071,65830,255,135,130,218,LP,,,,,
"Lateral posterior thalamic nucleus, laterocaudal part",LPLC,2127,65840,255,135,130,218,LP,,,,,
Intramedullary thalamic area,IMA,2094,65850,255,135,130,138,LAT,,,,,
Posterior thalamic nuclear group,Po,1020,65900,255,134,130,138,LAT,Posterior complex of the thalamus,PO,,,
Angular thalamic nucleus,Ang,2055,65910,255,134,130,1020,Po,,,,,
"Posterior thalamic nuclear group, triangular part",PoT,2128,65920,255,134,130,1020,Po,,,,,
Posterior limitans thalamic nucleus,PLi,1029,66000,255,133,130,138,LAT,Posterior limiting nucleus of the thalamus,POL,,,
Suprageniculate thalamic nucleus,SG,325,66100,255,131,130,138,LAT,Suprageniculate nucleus,SGN,,,
Anterior group of the dorsal thalamus,ATN,239,66200,255,136,136,856,DORpm,Anterior group of the dorsal thalamus,ATN,,,
Anteroventral thalamic nucleus,AV,255,66300,255,136,133,239,ATN,Anteroventral nucleus of thalamus,AV,,,
"Anteroventral thalamic nucleus, ventrolateral part",AVVL,2035,66310,255,136,133,255,AV,,,,,
"Anterovent thalamic nucleus, dorsomedial part",AVDM,2036,66320,255,136,133,255,AV,,,,,
Anteromedial thalamic nucleus,AM,1096,66400,255,136,134,239,ATN,Anteromedial nucleus,AM,,,
,,,,,,,,,"Anteromedial nucleus, dorsal part",AMd,,,
"Anteromedial thalamic nucleus, ventral part",AMV,1104,66600,255,136,134,1096,AM,"Anteromedial nucleus, ventral part",AMv,,,
Anterodorsal thalamic nucleus,AD,64,66700,255,136,135,239,ATN,Anterodorsal nucleus,AD,,,
Interanteromedial thalamic nucleus,IAM,1120,66800,255,136,129,239,ATN,Interanteromedial nucleus of the thalamus,IAM,,,
Interanterodorsal thalamic nucleus,IAD,1113,66900,255,144,159,239,ATN,Interanterodorsal nucleus of the thalamus,IAD,,,
Lateral dorsal nucleus of thalamus,LD,2282,67000,255,136,128,239,ATN,,,,,
"Laterodorsal thalamic nucleus, ventrolateral part",LDVL,155,67010,255,136,128,2282,LD,,,,,
"Laterodorsal thalamic nucleus, dorsomedial part",LDDM,2046,67020,255,136,128,2282,LD,,,,,
Medial group of the dorsal thalamus,MED,444,67100,255,144,176,856,DORpm,Medial group of the dorsal thalamus,MED,,,
Intermediodorsal thalamic nucleus,IMD,59,67200,255,144,164,444,MED,Intermediodorsal nucleus of the thalamus,IMD,,,
Posteromedian thalamic nucleus,PoMn,2091,67210,255,144,164,444,MED,,,,,
Mediodorsal thalamic nucleus,MD,362,67300,255,144,163,444,MED,Mediodorsal nucleus of thalamus,MD,,,
"Mediodorsal thalamic nucleus, central part",MDC,617,67400,255,144,163,362,MD,"Mediodorsal nucleus of the thalamus, central part",MDc,,,
"Mediodorsal thalamic nucleus, lateral part ",MDL,626,67500,255,144,163,362,MD,"Mediodorsal nucleus of the thalamus, lateral part",MDl,,,
"Mediodorsal thalamic nucleus, medial part",MDM,636,67600,255,144,163,362,MD,"Mediodorsal nucleus of the thalamus, medial part",MDm,,,
Submedius thalamic nucleus,Sub,366,67700,255,144,161,444,MED,Submedial nucleus of the thalamus,SMT,,,
"Submedius thalamic nucleus, dorsal part",SubD,2377,67710,255,144,161,366,Sub,,,,,
"Submedius thalamic nucleus, ventral part",SubV,2378,67720,255,144,161,366,Sub,,,,,
,,,,,,,,,Perireunensis nucleus,PR,,,
Midline group of the dorsal thalamus,MTN,571,67900,255,134,134,856,DORpm,Midline group of the dorsal thalamus,MTN,,,
Paraventricular nucleus of the thalamus,PVT,149,68000,255,133,133,571,MTN,Paraventricular nucleus of the thalamus,PVT,,,
"Paraventricular thalamic nucleus, anterior part",PV,2089,68010,255,133,133,149,PVT,,,,,
"Paraventricular thalamic nucleus, posterior part",PVP,2090,68020,255,133,133,149,PVT,,,,,
Parataenial thalamic nucleus,PT,15,68100,255,133,134,571,MTN,Parataenial nucleus,PT,,,
Xiphoid thalamic nucleus,Xi,2038,68110,255,133,134,15,PT,,,,,
Paraxiphoid nucleus of thalamus,PaXi,2039,68120,255,133,134,2038,Xi,,,,,
Accessory neuosecretory nuclei,ANS,2032,68130,255,133,134,571,MTN,,,,,
Reuniens area,RE,181,68200,255,133,132,571,MTN,Nucleus of reunions,RE,,,
Reuniens thalamic nucleus,Re,2092,68210,255,133,132,181,RE,,,,,
Retrouniens area,RRe,2093,68220,255,133,132,181,RE,,,,,
Ventral reuniens thalamic nucleus,VRe ,2037,68230,255,133,132,181,RE,,,,,
Intralaminar nuclei of the dorsal thalamus,ILM,51,68300,255,136,132,856,DORpm,Intralaminar nuclei of the dorsal thalamus,ILM,,,
Rhomboid thalamic nucleus,Rh,189,68400,255,128,132,51,ILM,Rhomboid nucleus,RH,,,
Central medial thalamic nucleus,CM,599,68500,255,134,132,51,ILM,Central medial nucleus of the thalamus,CM,,,
Paracentral thalamic nucleus,PC,907,68600,255,132,132,51,ILM,Paracentral nucleus,PCN,,,
Oval paracentral thalamic nucleus,OPC,2064,68610,255,132,132,907,PC,,,,,
Centrolateral thalamic nucleus,CL,575,68700,255,135,132,51,ILM,Central lateral nucleus of the thalamus,CL,,,
Parafascicular thalamic nucleus,PaF,930,68800,255,130,132,51,ILM,Parafascicular nucleus,PF,,,
Reticular nucleus (prethalamus),Rt,262,68900,255,128,128,856,DORpm,Reticular nucleus of the thalamus,RT,,,
"Geniculate group, ventral thalamus",GENv,1014,69000,255,135,133,856,DORpm,"Geniculate group, ventral thalamus",GENv,,,
Intergeniculate leaflet,IGL,27,69100,255,135,134,1014,GENv,Intergeniculate leaflet of the lateral geniculate complex,IGL,,,
Pregeniculate nucleus of the prethalamus,PrG,178,69200,255,135,135,1014,GENv,Ventral part of the lateral geniculate complex,LGv,,,
"Pregeniculate nucleus, magnocellular part",PrGMC,2072,69210,255,135,135,178,PrG,,,,,
"Pregeniculate nucleus, parvicellular part",PrGPC,2073,69220,255,135,135,178,PrG,,,,,
,,,,,,,,,"Ventral part of the lateral geniculate complex, lateral zone",LGvl,,,
,,,,,,,,,"Ventral part of the lateral geniculate complex, medial zone",LGvm,,,
Subgeniculate nucleus of the prethalamus,SubG,321,69500,255,135,133,1014,GENv,Subgeniculate nucleus,SubG,,,
Epithalamus,EPI,958,69600,255,136,144,856,DORpm,Epithalamus,EPI,,,
Medial habenular nucleus,MHb,483,69700,255,134,144,958,EPI,Medial habenula,MH,,,
Lateral habenular nucleus,LHb,186,69800,255,135,144,958,EPI,Lateral habenula,LH,,,
"Lateral habenular nucleus, medial part",LHbM,2058,69810,255,135,144,186,LHb,,,,,
"Lateral habenular nucleus, lateral part",LHbL,2059,69820,255,135,144,186,LHb,,,,,
Pineal gland,Pi,953,69900,255,132,144,958,EPI,Pineal body,PIN,,,
Hypothalamus,HY,1097,70000,255,105,110,1129,IB,Hypothalamus,HY,,,
